Industrie;Companii;Capitalizare;Preț actiune;Val. intrinsecă;Abatere;EPS ttm;GN;P/E;P/BV;Marjă P. Net;ROA;ROE;Datorii/Ac. Net;Preț țintă;Dividend;Nr Actiuni;Recomandare;;;;;;;;;;;;;;
;BlackRock;180.151.769.600 $;1.163,17 $;;#DIV/0!;34,51 $;136,51;33,71;4,05;31,37%;3,60%;15,05%;29%;1.165,17 $;20,84 $;154.880.000;Cumpără;;;;;;;;;;;;;;
;Citi Group;221.915.200.000 $;118,04 $;;#DIV/0!;6,99 $;13,51;16,89;0,80;11,52%;0,34%;3,87%;-;91,47 $;2,24 $;1.880.000.000;Cumpără;;;;;;;;;;;;;;
;Charles Schwab;189.990.600.000 $;103,82 $;;#DIV/0!;4,30 $;75,57;24,14;3,13;27,47%;1,09%;12,11%;84%;89,50 $;1,00 $;1.830.000.000;Cumpără;;;;;;;;;;;;;;
;Goldman Sachs ;325.358.020.000 $;962,00 $;1.098,00 $;-12,39%;51,32 $;30,55;18,75;1,63;24,65%;0,74%;10,17%;611%;643,38 $;12,00 $;338.210.000;Cumpără;;;;;;;;;;;;;;
;JP Morgan Chase ;874.916.000.000 $;312,47 $;294,00 $;6,28%;20,02 $;35,90;15,61;2,30;33,16%;1,33%;16,22%;-;265,53 $;5,00 $;2.800.000.000;Cumpără;;;;;;;;;;;;;;
;Mastercard;493.093.860.000 $;539,49 $;344,00 $;56,83%;15,64 $;2.738,15;34,49;79,38;45,26%;22,89%;177,58%;291%;604,00 $;3,04 $;914.000.000;Cumpără;;;;;;;;;;;;;;
;Morgan Stanley;303.360.709.586 $;189,09 $;199,00 $;-4,98%;10,21 $;42,97;18,52;2,32;22,35%;1,14%;13,88%;416%;130,00 $;3,70 $;1.604.319.158;Cumpără;;;;;;;;;;;;;;
;Visa;640.185.000.000 $;328,30 $;197,00 $;66,65%;10,20 $;574,20;32,19;17,84;54,95%;16,17%;50,71%;54%;365,86 $;2,36 $;1.950.000.000;Cumpără;;;;;;;;;;;;;;
;Wells Fargo;290.770.200.000 $;88,38 $;95,00 $;-6,97%;6,26 $;22,59;14,12;1,60;26,00%;1,00%;11,00%;-;83,00 $;1,60 $;3.290.000.000;Cumpără;;;;;;;;;;;;;;
Energie;Chevron;299.268.000.000 $;166,26 $;173,86 $;-4,37%;7,08 $;40,39;23,48;1,72;6,70%;4,05%;7,32%;21%;172,00 $;6,84 $;1.800.000.000;Ține;;;;;;;;;;;;;;
;ConocoPhillips;126.975.380.400 $;98,19 $;127,42 $;-22,94%;7,80 $;23,79;12,59;1,89;17,47%;10,03%;20,38%;39%;129,00 $;3,12 $;1.293.160.000;Cumpără;;;;;;;;;;;;;;
;Constellation Energy Corp.;96.263.996.400 $;307,71 $;196,00 $;56,99%;8,72 $;233,61;35,29;6,62;12,33%;4,69%;23,70%;66%;311,77 $;1,41 $;312.840.000;Cumpără;;;;;;;;;;;;;;
;Cheniere Energy;46.377.279.000 $;206,70 $;206,00 $;0,34%;17,99 $;98,70;11,49;8,59;23,44%;10,10%;58,33%;63%;288,00 $;2,00 $;224.370.000;Cumpără;;;;;;;;;;;;;;
;Centrus Energy;5.428.892.000 $;331,03 $;52,00 $;536,60%;6,58 $;417,06;50,31;8,29;19,24%;7,87%;289,31%;339%;112,67 $;-;16.400.000;Cumpără;;;;;;;;;;;;;;
;Devon Energy;23.244.020.000 $;36,20 $;55,46 $;-34,73%;4,25 $;12,01;8,52;1,41;17,50%;9,56%;21,00%;61%;43,00 $;1,00 $;642.100.000;Cumpără;;;;;;;;;;;;;;
;Dominion Energy;51.349.788.437 $;61,13 $;;#DIV/0!;2,68 $;39,69;22,81;1,74;15,00%;2,59%;6,80%;141%;58,55 $;2,67 $;840.009.626;Ține;;;;;;;;;;;;;;
;Duke Energy;92.095.352.324 $;119,22 $;;#DIV/0!;6,36 $;34,49;18,75;1,84;14,53%;2,66%;8,84%;167%;121,38 $;4,18 $;772.482.405;Ține;;;;;;;;;;;;;;
;First Solar;26.138.696.867 $;243,73 $;329,00 $;-25,92%;13,03 $;39,28;18,71;2,10;29,72%;7,50%;16,00%;8%;202,00 $;-;107.244.479;Cumpără;;;;;;;;;;;;;;
;Ecopetrol;25.725.000.000 $;12,25 $;;#DIV/0!;1,50 $;7,84;8,17;0,96;10,50%;7,63%;19,00%;114%;9,20 $;2,39 $;2.100.000.000;Ține;;;;;;;;;;;;;;
;Enbridge Inc;103.700.973.795 $;47,59 $;;#DIV/0!;1,85 $;56,85;25,72;2,21;10,20%;3,15%;8,50%;150%;45,00 $;2,66 $;2.179.049.670;Ține;;;;;;;;;;;;;;
;Energy Fuels;4.313.842.800 $;21,94 $;;#DIV/0!;-,47 $;-77,02;-46,68;1,65;-90,40%;-4,45%;-9,20%;-;8,50 $;-;196.620.000;Cumpără Puternic;;;;;;;;;;;;;;
;Exxon Mobil;571.516.000.000 $;129,89 $;121,00 $;7,35%;6,89 $;33,37;18,85;1,77;9,20%;5,11%;11,40%;16%;131,00 $;4,12 $;4.400.000.000;Ține;;;;;;;;;;;;;;
;Occidental Petroleum;40.067.118.000 $;42,70 $;50,00 $;-14,60%;1,37 $;49,56;31,17;1,59;11,53%;4,59%;8,93%;79%;59,00 $;0,88 $;938.340.000;Ține;;;;;;;;;;;;;;
;NextEra Energy;171.644.650.149 $;83,63 $;;#DIV/0!;3,15 $;75,40;26,55;2,84;14,53%;2,66%;8,84%;137%;84,51 $;2,06 $;2.052.429.154;Cumpără;;;;;;;;;;;;;;
;Nuscale Power;5.155.718.400 $;20,19 $;3,00 $;573,00%;-2,78 $;-130,80;-7,26;18,01;0,00%;-44,00%;-166%;-;20,10 $;-;255.360.000;Cumpără;;;;;;;;;;;;;;
;Oklo;11.593.395.000 $;94,95 $;;#DIV/0!;4,20 $;539,41;22,61;23,86;0,00%;-15%;-59,00%;1%;34,80 $;-;122.100.000;Cumpără;;;;;;;;;;;;;;
;Petrobras;78.678.000.000 $;12,69 $;14,50 $;-12,48%;2,24 $;7,53;5,67;1,33;16,81%;11,27%;21,76%;102%;16,71 $;2,81 $;6.200.000.000;Cumpără;;;;;;;;;;;;;;
;Vistra Energy;56.682.318.000 $;166,60 $;160,00 $;4,13%;2,75 $;720,92;60,58;11,90;12,51%;6,41%;30,17%%;312%;172,00 $;0,87 $;340.230.000;Cumpără;;;;;;;;;;;;;;
;Schlumberger;65.422.000.000 $;46,73 $;55,80 $;-16,25%;2,59 $;32,48;18,04;1,80;11,00%;7,00%;15%;47%;45,20 $;1,16 $;1.400.000.000;Cumpără;;;;;;;;;;;;;;
Armament;BAE Systems;61.925.459.780 £;2078,00 £;;#DIV/0!;0,65 £;11.157,26;3.196,92;3,49;7,43%;4,43%;18%;88%;1.476,00 £;0,33 £;29.800.510;Cumpără;;;;;;;;;;;;;;
;Boeing;185.566.809.600 $;247,68 $;;#DIV/0!;-13,53 $;0,00;-18,31;;-17,70%;-2,67%;-%;-;193,47 $;-;749.220.000;Cumpără;;;;;;;;;;;;;;
;Leonardo;33.941.221.600€;59,02€;40,00€;47,55%;1,84€;78,27;32,08;2,44;6,20%;3,90%;12,80%;46%;31,55€;0,28€;575.080.000;Cumpără;;;;;;;;;;;;;;
;Lockheed Martin;137.098.197.700 $;582,43 $;512,00 $;13,76%;17,91 $;550,56;32,52;16,93;9,36%;9,99%;81,04%;338%;546,26 $;13,20 $;235.390.000;Ține;;;;;;;;;;;;;;
;Rheinmetall;82.753.743.564€;1.906,00€;;#DIV/0!;17,77€;1.134,80;107,26;10,58;6,38%;5,97%;22,24%;54%;862,93€;5,70€;43.417.494;Cumpără;;;;;;;;;;;;;;
;Raytheon Technologies Corp;268.553.600.000 $;201,92 $;;#DIV/0!;4,87 $;119,00;41,46;2,87;5,97%;3,16%;7,35%;70%;141,55 $;2,52 $;1.330.000.000;Ține;;;;;;;;;;;;;;
;Thales;53.727.301.006€;261,60€;;#DIV/0!;5,18€;262,61;50,50;5,20;7,25%;2,75%;12,40%;104%;179,00 $;3,45€;205.379.591;Cumpără;;;;;;;;;;;;;;
Medicină;Eli Lilly;935.006.512.000 $;1.038,40 $;357,00 $;190,87%;20,45 $;2.598,79;50,78;51,18;20,48%;13,95%;65,32%;245%;972,00 $;6,00 $;900.430.000;Cumpără;;;;;;;;;;;;;;
;Johnson & Johnson ;526.970.600.000 $;218,66 $;161,00 $;35,81%;10,36 $;109,96;21,11;5,21;16,74%;8,40%;20,89%;53%;168,45 $;4,96 $;2.410.000.000;Ține;;;;;;;;;;;;;;
;Merck & CO Inc;271.833.746.853 $;108,83 $;124,00 $;-12,23%;7,56 $;57,58;14,40;4,00;26%;13,00%;35,00%;72%;101,00 $;3,24 $;2.497.783.211;Cumpără;;;;;;;;;;;;;;
;Novartis;276.958.454.456 $;144,34 $;140,00 $;3,10%;7,31 $;108,80;19,75;5,51;23,30%;12,00%;32,00%;71%;131,00 $;4,00 $;1.918.792.119;Cumpără;;;;;;;;;;;;;;
;Novo Nordisk;277.368.500.000 $;62,33 $;77,00 $;-19,05%;3,63 $;137,37;17,17;8,00;33,00%;21,47%;71,00%;60%;60,00 $;1,73 $;4.450.000.000;Cumpără;;;;;;;;;;;;;;
;Sanofi;207.325.500.000 $;46,59 $;103,00 $;-54,77%;4,29 $;65,16;10,86;6,00;35,50%;21,47%;88,73%;72%;62,00 $;1,44 $;4.450.000.000;Cumpără;;;;;;;;;;;;;;
;Pfizer;145.435.500.000 $;25,65 $;28,00 $;-8,39%;1,72 $;24,01;14,91;1,61;7,16%;3,31%;4,54%;76%;31,13 $;1,72 $;5.670.000.000;Ține;;;;;;;;;;;;;;
Alimentație;Coca-Cola;303.596.400.000 $;70,44 $;56,00 $;25,79%;3,02 $;271,73;23,32;11,65;23,00%;9,00%;39,00%;180%;77,12 $;1,94 $;4.310.000.000;Cumpără;;;;;;;;;;;;;;
;McDonalds ;220.310.486.600 $;307,43 $;211,00 $;45,70%;11,72 $;0,00;26,23;;31,79%;13,63%;-%;-;320,87 $;7,08 $;716.620.000;Cumpără;;;;;;;;;;;;;;
;PepsiCo ;200.458.400.000 $;146,32 $;159,00 $;-7,97%;5,26 $;272,06;27,82;9,78;10,18%;8,86%;50,00%;263%;150,00 $;5,42 $;1.370.000.000;Ține;;;;;;;;;;;;;;
;Philip Morris;269.111.000.000 $;173,62 $;133,40 $;30,15%;5,52 $;0,00;31,45;;26,42%;13,12%;-%;-;136,93 $;5,40 $;1.550.000.000;Cumpără;;;;;;;;;;;;;;
Călătorii;Airbnb;81.632.448.200 $;130,66 $;;#DIV/0!;4,21 $;296,39;31,04;9,55;16,96%;4,86%;20,87%;27%;136,89 $;-;624.770.000;Ține;;;;;;;;;;;;;;
;Royal Caribbean;74.219.089.000 $;276,01 $;;#DIV/0!;14,87 $;172,07;18,56;9,27;16,21%;7,31%;44,26%;269%;278,65 $;0,95 $;268.900.000;Cumpără;;;;;;;;;;;;;;
;Delta Air Lines;45.682.552.119 $;70,43 $;83,00 $;-15,14%;7,65 $;19,15;9,21;2,08;5,91%;4,74%;27,50%;151%;67,00 $;0,75 $;648.623.486;Cumpără;;;;;;;;;;;;;;
;United Airline;37.065.898.689 $;113,49 $;151,80 $;-25,24%;10,00 $;24,51;11,35;2,16;6,34%;4,82%;33,00%;260%;104,00 $;-;326.600.570;Cumpără;;;;;;;;;;;;;;
Construcții;Schneider;131.912.095.500€;235,15€;;#DIV/0!;7,56€;156,14;31,10;5,02;10,60%;6,37%;15,00%;52%;261,00€;3,50€;560.970.000;Ține;;;;;;;;;;;;;;
;Siemens Energy;106.677.000.000€;135,00€;;#DIV/0!;1,60€;419,34;84,38;4,97;-0,47%;0,21%;0,03%;38%;56,50€;-;790.200.000;Cumpără;;;;;;;;;;;;;;
;Vinci;66.055.922.925€;117,45€;;#DIV/0!;8,32€;28,66;14,12;2,03;6,68%;4,33%;15,96%;116%;135,00€;4,75€;562.417.394;Cumpără;;;;;;;;;;;;;;
Auto;Ford;53.992.000.000 $;13,60 $;;#DIV/0!;1,17 $;10,35;11,62;0,89;1,93%;0,75%;7,99%;359%;11,69 $;0,60 $;3.970.000.000;Ține;;;;;;;;;;;;;;
;BMW;55.685.995.200€;88,72€;;#DIV/0!;11,25€;4,18;7,89;0,53;5,49%;3,35%;9,39%;117%;88,45€;6,00€;627.660.000;Cumpără;;;;;;;;;;;;;;
;General Motors;80.415.900.000 $;80,82 $;;#DIV/0!;4,97 $;12,36;16,26;0,76;6,06%;2,70%;14,17%;200%;60,05 $;0,48 $;995.000.000;Cumpără;;;;;;;;;;;;;;
;Mercedes-Benz ;55.749.832.000€;58,61€;130,00€;-54,92%;12,94€;2,76;4,53;0,61;7,33%;3,10%;12,00%;120%;67,60€;5,30€;951.200.000;Ține;;;;;;;;;;;;;;
;Nio;9.891.000.000 $;4,71 $;;#DIV/0!;-1,52 $;-17,54;-3,10;5,66;-32,44%;-14,00%;-104,00%;250%;6,32 $;-;2.100.000.000;Cumpără;;;;;;;;;;;;;;
;Renault;9.226.243.800€;31,83€;;#DIV/0!;-42,86€;-0,36;-0,74;0,49;2,66%;2,10%;5,10%;231%;58,32€;1,85€;289.860.000;Cumpără;;;;;;;;;;;;;;
;Tesla;1.404.439.200.000 $;437,52 $;50,85 $;760,41%;1,50 $;5.206,49;291,68;17,85;13,08%;4,76%;20,39%;19%;324,00 $;-;3.210.000.000;Ține;;;;;;;;;;;;;;
;Volkswagen ;50.618.124.000€;101,70€;186,00€;-45,32%;13,28€;2,07;7,66;0,27;3,97%;2,39%;7,34%;129%;125,00€;9,00€;497.720.000;Ține;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
