Symbol,Date,Quantity,AvgPrice,Currency
EXIE.DE,2025-11-05,1.0,6.7,EUR
SPYL.DE,2025-12-08,3.0,14.5,EUR
OXY,2025-01-02,4.0,47.42,USD
INOD,2025-11-26,1.0,57.5,USD
NVO,2025-10-01,2.0,52.97,USD



